date,week,site,rep,plant,p_freshMass,p_surfaceArea,p_dryMass,l_freshMass,l_surfaceArea,l_dryMass
2/25/2025,1,A,1,#21,84.3,8.016,11.74,,,
2/25/2025,1,A,2,#22,103.2,9.597,10.96,,,
2/25/2025,1,A,3,#23,108.2,10.48,13.19,,,
2/25/2025,1,A,4,#24,117.8,9.972,11.5,,,
2/25/2025,1,A,5,#25,140,11.746,15.5,,,
3/4/2025,2,A,1,#21,100.51,10.011,10.68,,,
3/4/2025,2,A,2,#22,130.04,11.484,15.25,,,
3/4/2025,2,A,3,#23,95.73,7.169,12.25,,,
3/4/2025,2,A,4,#24,89.63,7.66,10.63,,,
3/4/2025,2,A,5,#25,135.25,12.865,14.9,,,
3/4/2025,2,A,6,#26,107.77,10.223,14,,,
3/4/2025,2,A,7,#27,82.34,7.298,9.35,,,
3/4/2025,2,A,8,#28,95.72,9.806,12.05,,,
3/4/2025,2,A,9,#29,80.51,9.349,10.23,,,
3/4/2025,2,A,10,#30,26.05,3.473,3.64,,,
3/11/2025,3,A,1,#21,121.16,12.61,14.98,,,
3/11/2025,3,A,2,#22,132.13,10.891,18.1,,,
3/11/2025,3,A,3,#23,70.55,7.476,8.85,,,
3/11/2025,3,A,4,#24,146.59,13.142,18.7,,,
3/11/2025,3,A,5,#25,153.83,14.545,19.33,,,
3/11/2025,3,A,6,#26,56.84,5.267,9.01,,,
3/11/2025,3,A,7,#27,56.37,5.847,7.11,,,
3/11/2025,3,A,8,#28,90.05,10.154,12.25,,,
3/11/2025,3,A,9,#29,106.66,10.243,13.53,,,
3/11/2025,3,A,10,#30,107.13,10.336,13.77,,,
3/11/2025,3,A,11,#31,93.6,9.937,11.64,,,
3/11/2025,3,A,12,#32,85.2,10.077,11.7,,,
3/11/2025,3,A,13,#33,171.78,16.689,19.21,,,
3/11/2025,3,A,14,#34,124.5,12.481,14.09,,,
3/18/2025,4,A,1,#21,101,9.226,11.52,157.67,3.87,29.58
3/18/2025,4,A,2,#22,107.24,10.607,12.87,264.54,5.657,49.89
3/18/2025,4,A,3,#23,58.94,5.854,7.05,44.32,1.547,7.91
3/18/2025,4,A,4,#24,51.68,5.35,6.72,37.8,1.2,6.38
3/18/2025,4,A,5,#25,95.02,9.202,10.88,67.23,2.1,13.98
3/18/2025,4,A,6,#26,117.56,11.744,12.94,166.98,3.88,32.1
3/18/2025,4,A,7,#27,96.7,7.84,10.08,36.21,1.177,6.66
3/18/2025,4,A,8,#28,113.86,10.67,14.1,353.84,7.482,58.44
3/18/2025,4,A,9,#29,129.77,12.484,15.27,149.14,4.545,26.69
3/18/2025,4,A,10,#30,53.33,5.559,6.95,433.81,11.297,51.08
3/18/2025,4,A,11,#31,84.01,7.541,10.81,83.5,2.547,17.71
3/18/2025,4,A,12,#32,89.91,8.613,11.19,322.74,7.953,55.71
3/18/2025,4,A,13,#33,67.35,7.167,8.76,58.43,2.258,13.1
3/18/2025,4,A,14,#34,146.62,12.126,17.79,485.21,13.955,87.94
3/18/2025,4,A,15,#35,121.98,11.881,15.01,185.44,5.355,33.32
3/18/2025,4,A,16,#36,80.83,7.891,10.98,102.22,3.14,18.28
3/18/2025,4,A,17,#37,102.31,8.921,12.54,35.27,1.232,7.47
3/18/2025,4,A,18,#38,81.57,7.911,11.07,72.99,2.304,15.43
3/18/2025,4,A,19,#39,96.67,10.085,11.39,74.54,2.518,12.79
3/18/2025,4,A,20,#40,85.31,7.995,10.47,296.83,5.818,46.54
3/25/2025,5,A,1,#21,121.29,12.476,14.63,,,
3/25/2025,5,A,2,#22,94.16,10.757,10.73,,,
3/25/2025,5,A,3,#23,113.34,10.305,12.46,,,
3/25/2025,5,A,4,#24,42.83,4.56,5.47,,,
3/25/2025,5,A,5,#25,179.93,16.516,17.07,,,
3/25/2025,5,A,6,#26,93.23,9.632,11.72,,,
3/25/2025,5,A,7,#27,52.65,5.458,7.18,,,
3/25/2025,5,A,8,#28,98.97,10.197,11.33,,,
3/25/2025,5,A,9,#29,75.69,8.754,9.04,,,
3/25/2025,5,A,10,#30,61.48,6.711,7.07,,,
3/25/2025,5,A,11,#31,112.14,13.991,12.18,,,
3/25/2025,5,A,12,#32,163.57,16.987,20.07,,,
3/25/2025,5,A,13,#33,86.1,8.982,10.57,,,
3/25/2025,5,A,14,#34,93.77,10.313,9.5,,,
3/25/2025,5,A,15,#35,154.47,14.14,18.23,,,
3/25/2025,5,A,16,#36,72.71,8.129,8.7,,,
3/25/2025,5,A,17,#37,130.42,12.804,14.39,,,
3/25/2025,5,A,18,#38,116.57,13.027,14.17,,,
3/25/2025,5,A,19,#39,67.36,7.122,7.4,,,
3/25/2025,5,A,20,#40,214.93,20.438,22.34,,,
4/3/2025,6,A,1,#21,135.11,13.002,14.84,,,
4/3/2025,6,A,2,#22,145.84,13.662,16.54,,,
4/3/2025,6,A,3,#23,140.65,12.767,14.39,,,
4/3/2025,6,A,4,#24,97.44,8.32,11.67,,,
4/3/2025,6,A,5,#25,96.89,10.238,11.75,,,
4/3/2025,6,A,6,#26,92.68,9.516,11.35,,,
4/3/2025,6,A,7,#27,119.89,13.184,12.24,,,
4/3/2025,6,A,8,#28,161.72,16.424,17.33,,,
4/3/2025,6,A,9,#29,65.64,8.059,7.82,,,
4/3/2025,6,A,10,#30,100.53,11.122,11.23,,,
4/3/2025,6,A,11,#31,40.19,4.529,4.68,,,
4/3/2025,6,A,12,#32,99.12,10.146,11.32,,,
4/3/2025,6,A,13,#33,92.22,10.181,10.91,,,
4/3/2025,6,A,14,#34,60.47,6.656,6.19,,,
4/3/2025,6,A,15,#35,126.44,12.653,11.43,,,
4/3/2025,6,A,16,#36,29.35,3.442,3.77,,,
4/3/2025,6,A,17,#37,144.22,13.649,14.26,,,
4/3/2025,6,A,18,#38,82.08,8.9,8.84,,,
4/3/2025,6,A,19,#39,207.59,18.407,19.89,,,
4/3/2025,6,A,20,#40,135.66,13.645,15.77,,,
4/15/2025,8,A,1,#21,116.32,12.401,13.32,,,
4/15/2025,8,A,2,#22,62.51,7.72,8.36,,,
4/15/2025,8,A,3,#23,76.76,7.644,7.33,,,
4/15/2025,8,A,4,#24,54.03,7.242,6.53,,,
4/15/2025,8,A,5,#25,33.81,4.492,4.51,,,
4/15/2025,8,A,6,#26,84.2,9.478,9.91,,,
4/15/2025,8,A,7,#27,48.27,5.437,6.51,,,
4/15/2025,8,A,8,#28,72.66,8.78,9.13,,,
4/15/2025,8,A,9,#29,114.89,10.084,12.73,,,
4/15/2025,8,A,10,#30,44.94,5.932,4.96,,,
4/15/2025,8,A,11,#31,52.84,6.068,6.19,,,
4/15/2025,8,A,12,#32,67.24,8.615,8.59,,,
4/15/2025,8,A,13,#33,64.13,7.011,7.14,,,
4/15/2025,8,A,14,#34,37.64,4.382,4.92,,,
4/15/2025,8,A,15,#35,74.21,7.613,7.65,,,
4/15/2025,8,A,16,#36,56.77,7.155,7.19,,,
4/15/2025,8,A,17,#37,77.89,7.739,9.25,,,
4/15/2025,8,A,18,#38,45.89,5.431,5.8,,,
4/15/2025,8,A,19,#39,112.51,11.566,11.62,,,
4/15/2025,8,A,20,#40,45.93,5.475,5.88,,,
4/29/2025,10,A,1,#21,37.59,4.381,5.38,,,
4/29/2025,10,A,2,#22,17.57,2.606,2.56,,,
4/29/2025,10,A,3,#23,24.36,3.459,3.08,,,
4/29/2025,10,A,4,#24,46.05,5.411,4.87,,,
4/29/2025,10,A,5,#25,47.8,5.639,4.86,,,
4/29/2025,10,A,6,#26,39.92,5.401,5.22,,,
4/29/2025,10,A,7,#27,24.22,2.583,3.34,,,
4/29/2025,10,A,8,#28,26.81,3.492,3.74,,,
4/29/2025,10,A,9,#29,31.73,4.523,3.98,,,
4/29/2025,10,A,10,#30,41.12,5.763,5.55,,,
4/29/2025,10,A,11,#31,25.31,3.187,3.52,,,
4/29/2025,10,A,12,#32,44.45,5.46,5.03,,,
4/29/2025,10,A,13,#33,52.81,6.526,6.8,,,
4/29/2025,10,A,14,#34,68.55,7.389,7.09,,,
4/29/2025,10,A,15,#35,35.04,4.873,4.52,,,
4/29/2025,10,A,16,#36,67.33,8.298,7.77,,,
4/29/2025,10,A,17,#37,43.28,5.898,5.32,,,
4/29/2025,10,A,18,#38,36.08,4.351,4.68,,,
4/29/2025,10,A,19,#39,58.9,7.175,6.98,,,
4/29/2025,10,A,20,#40,29.66,3.655,4.04,,,
5/6/2025,11,A,1,#21,41.5,4.796,6.34,,,
5/6/2025,11,A,2,#22,35.49,3.952,5.19,,,
5/6/2025,11,A,3,#23,42.36,5.735,5.24,,,
5/6/2025,11,A,4,#24,29.44,3.658,4.67,,,
5/6/2025,11,A,5,#25,28.93,3.661,4.71,,,
5/6/2025,11,A,6,#26,23.01,3.22,3.75,,,
5/6/2025,11,A,7,#27,25.62,3.372,3.39,,,
5/6/2025,11,A,8,#28,23.11,3.17,3.31,,,
5/6/2025,11,A,9,#29,36.37,4.533,4.86,,,
5/6/2025,11,A,10,#30,23.34,3.16,3.34,,,
5/6/2025,11,A,11,#31,24.1,3.096,3.27,,,
5/6/2025,11,A,12,#32,27.11,3.514,4.04,,,
5/6/2025,11,A,13,#33,29.16,3.971,4.63,,,
5/6/2025,11,A,14,#34,32.64,4.176,4.95,,,
5/6/2025,11,A,15,#35,21.92,3.122,3.06,,,
5/6/2025,11,A,16,#36,21.6,2.939,3.4,,,
5/6/2025,11,A,17,#37,30.99,4.173,4.57,,,
5/6/2025,11,A,18,#38,52.69,5.896,7.49,,,
5/6/2025,11,A,19,#39,28.47,3.538,3.67,,,
5/6/2025,11,A,20,#40,48.62,5.63,6.61,,,
5/13/2025,12,A,1,#21,15.63,2.172,2.25,,,
5/13/2025,12,A,2,#22,27.69,3.485,3.63,,,
5/13/2025,12,A,3,#23,42.9,5.149,6.05,,,
5/13/2025,12,A,4,#24,31.74,4.207,4.8,,,
5/13/2025,12,A,5,#25,12.44,1.587,2.15,,,
5/13/2025,12,A,6,#26,33.95,4.364,4.11,,,
5/13/2025,12,A,7,#27,23.96,2.676,4.3,,,
5/13/2025,12,A,8,#28,10.67,1.581,1.74,,,
5/13/2025,12,A,9,#29,15.8,2.087,2.21,,,
5/13/2025,12,A,10,#30,24.04,3.037,3.68,,,
5/13/2025,12,A,11,#31,18.58,2.671,2.9,,,
5/13/2025,12,A,12,#32,15.72,2.295,2.48,,,
5/13/2025,12,A,13,#33,10.3,1.652,1.57,,,
5/13/2025,12,A,14,#34,22.91,3.079,3.17,,,
5/13/2025,12,A,15,#35,23.18,3.181,3.06,,,
5/13/2025,12,A,16,#36,18.9,2.808,2.85,,,
5/13/2025,12,A,17,#37,26.26,3.304,3.77,,,
5/13/2025,12,A,18,#38,19.98,2.46,3.15,,,
5/13/2025,12,A,19,#39,25.47,3.274,3.47,,,
5/13/2025,12,A,20,#40,22.5,3.186,3.54,,,
