SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Sample,Study plot,Petal side,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,9:53:31,3/25/2025,Petals MtDiablo,Shea Nolan,,1,A,bottom,0.010529,2.539723,0.010486,0.131347,1.405209,1.400511,2.618253,1.213044,14.167938,14.21546,26.486927,0.441786,7.5,55.11,54.92,21.35,21.78,21.78,98.85,120.4,120.5,-0.1,1174,3.817,9:52:57,3/25/2025,-0.26,1,0.001,-0.002,-0.014,-0.011,-0.019,-0.04,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.506832,2.518691,1.357584,0.845018,0.315617,0.004427,0.049323,1.126488,38.799404,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
2,9:53:58,3/25/2025,Petals MtDiablo,Shea Nolan,,1,A,top,0.035078,2.539214,0.0346,0.430171,1.472945,1.457564,2.676299,1.203354,14.74297,14.898551,27.070242,0.441786,7.5,57.28,56.68,21.49,22.14,22.14,98.86,120.3,120.1,0.2,73,3.816,9:52:57,3/25/2025,-0.26,1,-0.002,-0.002,-0.022,-0.005,-0.012,-0.03,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.509284,2.521756,1.357281,0.843975,0.313876,0.006927,0.052156,0.170386,38.350224,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
3,9:56:29,3/25/2025,Petals MtDiablo,Shea Nolan,,2,A,bottom,0.002621,2.538522,0.002619,0.034253,1.542586,1.541362,2.806898,1.264312,15.596131,15.608516,28.401342,0.441786,7.5,57.62,57.58,22.14,22.92,22.92,98.83,120.3,120,0.2,1659,3.812,9:52:57,3/25/2025,-0.26,1,-0.003,-0.004,-0.014,-0.005,-0.006,-0.009,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.510387,2.522086,1.35687,0.843881,0.305716,0.008335,0.068531,1.547164,37.164688,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
4,9:56:57,3/25/2025,Petals MtDiablo,Shea Nolan,,2,A,top,0.002141,2.537349,0.002139,0.02754,1.56092,1.559935,2.805307,1.244388,15.782865,15.792828,28.383097,0.441786,7.5,57.78,57.74,22.3,22.92,22.92,98.84,120.2,120,0.1,202,3.812,9:52:57,3/25/2025,-0.26,1,0,0.003,-0.009,-0.003,-0.004,-0.008,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.510574,2.522263,1.356174,0.843933,0.303873,0.006491,0.071454,0.282258,37.031651,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
5,10:02:38,3/25/2025,Petals MtDiablo,Shea Nolan,,3,A,bottom,0.053326,2.542015,0.05223,0.948918,1.723843,1.690067,3.472509,1.748666,17.097677,17.439375,35.129879,0.441786,7.5,55.82,54.73,24.51,26.49,26.49,98.85,120.5,119.9,0.5,1385,3.804,9:52:57,3/25/2025,-0.26,1,0,0.003,-9999,0,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.505749,2.518915,1.358948,0.843577,0.278099,0.022283,0.105102,1.309246,35.886169,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
6,10:02:57,3/25/2025,Petals MtDiablo,Shea Nolan,,3,A,top,0.00636,2.539092,0.006344,0.098135,1.739961,1.736462,3.230515,1.490554,17.567436,17.602835,32.682472,0.441786,7.5,55.92,55.8,24.64,25.27,25.27,98.85,120.3,119.8,0.4,41,3.803,9:52:57,3/25/2025,-0.26,1,0.002,0.002,-0.002,0.001,0,-0.003,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.50724,2.51902,1.357208,0.843378,0.276695,0.006446,0.106918,0.142361,35.850761,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
7,10:05:09,3/25/2025,Petals MtDiablo,Shea Nolan,,4,A,bottom,0.174133,2.54226,0.16297,3.574517,2.004962,1.878114,4.106107,2.101145,18.999392,20.282618,41.538242,0.441786,7.5,62.37,58.43,25.18,29.36,29.36,98.85,120.6,120,0.5,2026,3.801,10:03:10,3/25/2025,-0.06,1,0.004,0.005,-9999,0.002,0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.510797,2.527755,1.359094,0.843732,0.270753,0.048985,0.119394,1.865718,35.691978,0.000136,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
8,10:05:39,3/25/2025,Petals MtDiablo,Shea Nolan,,4,A,top,0.14275,2.538818,0.135151,2.261297,1.92131,1.840819,3.529613,1.608303,18.622536,19.436819,35.707123,0.441786,7.5,59.39,56.9,25.29,26.76,26.76,98.85,120.3,119.5,0.6,669,3.801,10:03:10,3/25/2025,-0.06,1,-0.002,-0.001,-0.007,0.001,0.003,0.001,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.508615,2.523502,1.357046,0.842727,0.269579,0.016371,0.122259,0.687874,35.701275,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
9,10:20:47,3/25/2025,Petals MtDiablo,Shea Nolan,,41,A,bottom,-0.01277,2.541785,-0.012834,-0.183295,1.765504,1.772025,3.142023,1.376519,17.928949,17.862965,31.790268,0.441786,7.5,53.64,53.84,25.58,24.8,24.8,98.84,120.5,119.6,0.8,130,3.788,10:03:10,3/25/2025,-0.06,1,-0.004,0,0.001,0,-0.004,-0.001,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.504217,2.515244,1.358811,0.842851,0.266485,-0.010038,0.198248,0.219817,35.966991,0.000135,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
10,10:21:18,3/25/2025,Petals MtDiablo,Shea Nolan,,41,A,top,-0.012007,2.539729,-0.012064,-0.169896,1.826389,1.832438,3.183059,1.356669,18.540192,18.478989,32.20546,0.441786,7.5,55.51,55.7,25.57,25.02,25.02,98.84,120.4,119.7,0.6,110,3.787,10:21:02,3/25/2025,0.16,1,-0.001,0.001,-9999,-0.002,0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.506851,2.517618,1.357588,0.843108,0.266567,-0.007427,0.200545,0.202331,35.972713,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
11,10:22:40,3/25/2025,Petals MtDiablo,Shea Nolan,,6,A,bottom,0.186031,2.538373,0.173329,3.458603,2.143392,2.020533,4.053942,1.91055,20.441172,21.684099,41.0126,0.441786,7.5,65.05,61.32,25.6,29.14,29.14,98.85,120.3,119.6,0.5,1857,3.787,10:21:02,3/25/2025,0.16,1,0.001,-0.001,-0.016,0.003,0.002,0.004,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.514749,2.531118,1.356781,0.842974,0.266302,0.04131,0.207079,1.719443,36.08358,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
12,10:23:00,3/25/2025,Petals MtDiablo,Shea Nolan,,6,A,top,0.072146,2.540243,0.070154,1.534289,1.987665,1.933146,4.082909,2.095244,19.558678,20.110285,41.308998,0.441786,7.5,60.25,58.59,25.62,29.26,29.26,98.84,120.4,119.5,0.7,1721,3.786,10:21:02,3/25/2025,0.16,1,-0.007,-0.005,-0.02,-0.001,0.004,0.004,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.510916,2.524331,1.357893,0.842727,0.266063,0.042547,0.208706,1.601084,36.111832,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
13,10:27:04,3/25/2025,Petals MtDiablo,Shea Nolan,,5,A,bottom,0.007946,2.540111,0.007921,0.162676,2.005405,1.999625,3.97364,1.968235,20.232826,20.291306,40.206512,0.441786,7.5,59.52,59.35,25.97,28.79,28.79,98.83,120.4,119.5,0.7,1377,3.783,10:21:02,3/25/2025,0.16,1,0,0,-9999,0,-0.004,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.511887,2.523215,1.357814,0.842726,0.262338,0.032607,0.225657,1.302239,36.385059,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
14,10:27:28,3/25/2025,Petals MtDiablo,Shea Nolan,,5,A,top,0.006296,2.540856,0.00628,0.146665,1.870096,1.864879,4.108699,2.238603,18.867182,18.919954,41.568142,0.441786,7.5,55.28,55.13,26.04,29.37,29.37,98.84,120.5,119.2,1,1844,3.782,10:21:02,3/25/2025,0.16,1,0.002,0.003,-9999,-0.001,-0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.505924,2.517168,1.358258,0.84206,0.261622,0.038827,0.227148,1.707825,36.394356,0.000135,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
15,10:29:41,3/25/2025,Petals MtDiablo,Shea Nolan,,7,A,bottom,-0.002825,2.542232,-0.002828,-0.042425,1.849856,1.851364,3.293907,1.444051,18.73068,18.715425,33.325226,0.441786,7.5,54.15,54.2,26.21,25.59,25.59,98.84,120.6,119.6,0.8,927,3.781,10:21:02,3/25/2025,0.16,1,-0.003,-0.001,-9999,-0.001,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.504568,2.515514,1.359077,0.842942,0.259914,-0.008218,0.235663,0.91129,36.399723,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
16,10:30:23,3/25/2025,Petals MtDiablo,Shea Nolan,,7,A,top,-0.013038,2.543861,-0.013105,-0.192751,1.950526,1.957362,3.365197,1.414671,19.803392,19.734228,34.047001,0.441786,7.5,56.96,57.16,26.25,25.95,25.95,98.84,120.7,119.5,1,704,3.78,10:21:02,3/25/2025,0.16,1,0.003,0.004,-9999,0.003,0,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.508734,2.519505,1.360049,0.842657,0.259477,-0.004495,0.238293,0.717815,36.418678,0.000135,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
17,10:32:59,3/25/2025,Petals MtDiablo,Shea Nolan,,8,A,bottom,0.000187,2.540933,0.000187,0.003101,1.880387,1.880277,3.478298,1.597911,19.026329,19.027445,35.196541,0.441786,7.5,53.96,53.95,26.55,26.51,26.51,98.82,120.5,119.4,0.9,149,3.778,10:21:02,3/25/2025,0.16,1,-0.004,-0.004,-9999,0,0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.504137,2.515149,1.358304,0.842368,0.256431,-0.001442,0.247629,0.236105,36.400078,0.000136,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
18,10:33:34,3/25/2025,Petals MtDiablo,Shea Nolan,,8,A,top,0.017395,2.540743,0.017276,0.248057,2.07773,2.068927,3.45698,1.37925,20.934837,21.023907,34.98011,0.441786,7.5,59.35,59.1,26.62,26.41,26.41,98.83,120.4,119.7,0.6,160,3.778,10:33:14,3/25/2025,0.2,1,0.006,0.005,-9999,0.003,-0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.511371,2.522757,1.358191,0.84321,0.255662,-0.003567,0.249861,0.245747,36.419033,0.000135,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
19,10:35:15,3/25/2025,Petals MtDiablo,Shea Nolan,,9,A,bottom,0.014575,2.540439,0.014492,0.260466,1.909515,1.900255,3.635647,1.726132,19.230871,19.324577,36.793297,0.441786,7.5,53.93,53.66,26.82,27.27,27.27,98.81,120.4,119.3,0.9,1274,3.777,10:33:14,3/25/2025,0.2,1,-0.004,-0.003,-9999,0.001,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.50366,2.514983,1.35801,0.842267,0.253688,0.004242,0.256412,1.213209,36.471249,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
20,10:35:39,3/25/2025,Petals MtDiablo,Shea Nolan,,9,A,top,0.004787,2.53938,0.004778,0.08144,1.863412,1.860514,3.501797,1.638384,18.829206,18.85854,35.439701,0.441786,7.5,52.48,52.4,26.86,26.63,26.63,98.81,120.3,119.3,0.9,289,3.776,10:33:14,3/25/2025,0.2,1,0.002,0.002,-0.009,0,-0.001,0.001,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.501849,2.512896,1.35738,0.842142,0.25321,-0.003876,0.25783,0.357285,36.471603,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
21,10:40:16,3/25/2025,Petals MtDiablo,Shea Nolan,,10,A,bottom,0.057027,2.540049,0.055775,0.867058,1.939874,1.909046,3.43451,1.494637,19.316027,19.627943,34.750908,0.441786,7.5,53.18,52.33,27.32,26.3,26.3,98.83,120.4,119.4,0.8,1043,3.773,10:33:14,3/25/2025,0.2,1,-0.001,0.002,-9999,-0.001,0,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.501644,2.513786,1.357778,0.842466,0.248631,-0.013216,0.272815,1.012477,36.487343,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
22,10:40:51,3/25/2025,Petals MtDiablo,Shea Nolan,,10,A,top,-0.000377,2.546452,-0.000377,-0.007655,2.026215,2.026486,3.973604,1.947389,20.504974,20.502234,40.206863,0.441786,7.5,55.55,55.56,27.32,28.79,28.79,98.83,120.9,118,2.4,1339,3.772,10:33:14,3/25/2025,0.2,1,0.002,0.003,0.003,0.003,0,-0.001,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.506212,2.517182,1.361599,0.839234,0.248662,0.016484,0.274848,1.26925,36.459805,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
23,10:42:04,3/25/2025,Petals MtDiablo,Shea Nolan,,10,A,bottom,0.008002,2.542474,0.007977,0.158267,1.98884,1.983225,3.891185,1.902345,20.068052,20.124872,39.374504,0.441786,7.5,54.19,54.04,27.43,28.43,28.43,98.82,120.6,119.5,0.9,775,3.772,10:33:14,3/25/2025,0.2,1,0,-0.003,-0.009,0,0.003,0.008,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.504032,2.515208,1.359222,0.842774,0.24761,0.01085,0.279102,0.779528,36.512375,0.000136,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
24,10:42:27,3/25/2025,Petals MtDiablo,Shea Nolan,,10,A,top,-0.008833,2.54109,-0.008864,-0.163063,1.903075,1.90887,3.669697,1.766623,19.316879,19.258236,37.135639,0.441786,7.5,51.75,51.91,27.46,27.43,27.43,98.82,120.5,119.6,0.7,201,3.772,10:33:14,3/25/2025,0.2,1,-0.005,-0.002,0.005,-0.001,-0.007,-0.007,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.501006,2.511704,1.358397,0.84295,0.247275,-0.001566,0.280323,0.281577,36.510231,0.000136,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
25,10:45:27,3/25/2025,Petals MtDiablo,Shea Nolan,,11,A,bottom,0.010279,2.53845,0.010238,0.230275,2.013003,2.004815,4.165995,2.152992,20.289444,20.372305,42.16135,0.441786,7.5,53.88,53.66,27.73,29.61,29.61,98.81,120.3,119.4,0.7,1234,3.77,10:33:14,3/25/2025,0.2,1,0.007,0.004,-0.011,0.003,0.001,0.003,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.503423,2.514688,1.356827,0.842421,0.244635,0.02146,0.290344,1.177867,36.60643,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
26,10:46:08,3/25/2025,Petals MtDiablo,Shea Nolan,,11,A,top,0.007218,2.539271,0.007197,0.139786,1.900428,1.895455,3.764626,1.864198,19.181707,19.23204,38.097431,0.441786,7.5,50.55,50.42,27.84,27.86,27.86,98.82,120.3,119.3,0.9,841,3.769,10:45:40,3/25/2025,0.15,1,0.004,-0.002,-9999,-0.004,0.005,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.498801,2.509962,1.357315,0.84218,0.243614,-0.000872,0.292623,0.836924,36.631821,0.000136,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
27,10:51:12,3/25/2025,Petals MtDiablo,Shea Nolan,,12,A,bottom,-0.016649,2.541701,-0.016759,-0.275606,1.895375,1.905166,3.476184,1.580808,19.281059,19.181973,35.180397,0.441786,7.5,49.8,50.06,28.05,26.5,26.5,98.81,120.5,119.5,0.9,153,3.766,10:45:40,3/25/2025,0.15,1,0.004,-0.002,-9999,0.004,0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.498232,2.508828,1.358761,0.842571,0.241581,-0.019485,0.308889,0.239907,36.775589,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
